,PUBCHEM_SUBSTANCE_ID,PUBCHEM_EXT_DATASOURCE_REGID,smiles,smiles2
0,354335827,D4659,CCn1c(N)c(N)c(=O)n(CC)c1=O.Cl,CCn1c(N)c(N)c(=O)n(CC)c1=O
1,354335826,D4228,CCCC(=O)Nc1ncnc2c1ncn2C1OC2COP(=O)([O-])OC2C1OC(=O)CCC.[Na+],CCCC(=O)Nc1ncnc2c1ncn2C1OC2COP(=O)([O-])OC2C1OC(=O)CCC
3,354335824,Z0035,O=C(O)C(F)(F)F.[O-2].[O-]C([O-])C(F)(F)F.[O-]C([O-])C(F)(F)F.[O-]C([O-])C(F)(F)F.[O-]C([O-])C(F)(F)F.[O-]C([O-])C(F)(F)F.[O-]C([O-])C(F)(F)F.[Zn+3].[Zn+3].[Zn+4].[Zn+4],[O-]C([O-])C(F)(F)F
4,354335823,O0414,CCCCCCCCCCCCCCCCCC[Si](O)(O)OC.CO[Si](O)(O)CCCNC(=O)C1CCC2(C)O[Os](=O)(O)(O)OC2(C)C1.[Fe+2].[Fe+3].[Fe+3].[O-2].[O-2].[O-2].[O-2],CCCCCCCCCCCCCCCCCC[Si](O)(O)OC
5,354335822,A2950,CC(=O)c1ccc(F)c(N)c1,CC(=O)c1ccc(F)c(N)c1
6,354335821,B4981,Clc1cc(Br)cc(I)c1,Clc1cc(Br)cc(I)c1
7,354335820,M2934,Cc1cc(CC#N)cc(CC#N)c1,Cc1cc(CC#N)cc(CC#N)c1
8,354335819,H1674,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F
9,354335818,K0060,COc1cc2ncnc(Sc3nnc(C)s3)c2cc1OC,COc1cc2ncnc(Sc3nnc(C)s3)c2cc1OC
10,354335817,B5684,CC(C)(C)OC(=O)NCCCCCC(=O)ON1C(=O)CCC1=O,CC(C)(C)OC(=O)NCCCCCC(=O)ON1C(=O)CCC1=O
11,354335816,F1127,O=S(=O)(Cl)c1ccc(F)c(C(F)(F)F)c1,O=S(=O)(Cl)c1ccc(F)c(C(F)(F)F)c1
12,354335815,I0908,CC1(C)CC(OC(=O)c2ccccc2C(=O)OCCOc2ccc(I)cc2)CC(C)(C)N1[O],CC1(C)CC(OC(=O)c2ccccc2C(=O)OCCOc2ccc(I)cc2)CC(C)(C)N1[O]
13,354335814,G0409,c1ccc(OC[C@H]2CO2)cc1,c1ccc(OC[C@H]2CO2)cc1
14,354335813,P2460,O=S(c1ccccc1)C(F)(F)F,O=S(c1ccccc1)C(F)(F)F
